Title,Artist,Year,Entities,Entity Lines
love nwantiti (ah ah ah),CKay,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Jealous,Eyedress,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Kill This Love,BLACKPINK,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Loco Contigo,DJ Snake,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
BOP,DaBaby,2019.,"[set(), {'cali'}]","{'brands': {}, 'locations': {'cali': ""I'm going back to Cali like Biggie (Go back)""}}"
Those Eyes,New West,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
boyfriend,Ariana Grande,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
QUE PRETENDES,J Balvin,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Hold Me While You Wait,Lewis Capaldi,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
All I Want,Olivia Rodrigo,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
wish you were gay,Billie Eilish,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
The Man,Taylor Swift,2019.,"[set(), {'saint-tropez'}]","{'brands': {}, 'locations': {'saint-tropez': 'I’d be just like Leo in Saint-Tropez'}}"
Moral of the Story,Ashe,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Con Altura,ROSALÍA,2019.,"[{'panamera'}, set()]","{'brands': {'panamera': 'Pongo rosas sobre el Panamera (Brum)'}, 'locations': {}}"
South of the Border,Ed Sheeran,2019.,"[{'jordan', 'lamborghini'}, {'buenos aires'}]","{'brands': {'jordan': 'Legs open, tongue out, Michael Jordan, uh (Uh)', 'lamborghini': 'Pull up to my spot in Lamborghini'}, 'locations': {'buenos aires': 'In a green field near Buenos Aires'}}"
Hate Me,Ellie Goulding,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
SOS,Avicii,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Secreto,Anuel AA,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Tal Vez,Paulo Londra,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Sofia,Clairo,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
What A Time,Julia Michaels,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Cradles,Sub Urban,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Panini,Lil Nas X,2019.,"[{'benz'}, set()]","{'brands': {'benz': 'I need a big Benz, not another fan'}, 'locations': {}}"
F.N,Lil Tjay,2019.,"[{'cartier'}, set()]","{'brands': {'cartier': 'Cartier glasses, 20/20, got a clear view'}, 'locations': {}}"
The London,Young Thug,2019.,"[{'lamb', 'dodge'}, {'london'}]","{'brands': {'lamb': ""I'm in the Lamb', so she gon' ride (Yeah)"", 'dodge': ""I could charge 'em like a Dodge Hemi Demon""}, 'locations': {'london': 'Me-meet me at The London'}}"
Pure Water,Mustard,2019.,"[{'rari', 'celine'}, {'canada'}]","{'brands': {'rari': ""I go Lawrence with the fit, in the 'Rari with no tint ('Rari, drip, drip)"", 'celine': 'In the lab with Celine like that bag that she wanted (Celine)'}, 'locations': {'canada': ""I'm not from Canada, but I see a lot of tings (Canada)""}}"
Adicto,Tainy,2019.,"[{'valentino', 'lambo'}, set()]","{'brands': {'lambo': 'Si tu mamá te llama en la Lambo, contéstale', 'valentino': ""Que los party' dan pa' el vestido 'e Valentino, e' algo divino (Uah)""}, 'locations': {}}"
Pa Mí,Dalex,2019.,"[{'balenciaga'}, set()]","{'brands': {'balenciaga': 'Ponte la Balenciaga, dale, vámonos'}, 'locations': {}}"
OUT WEST,JACKBOYS,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Hola,Dalex,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Me Niego,Reik,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
My Oh My,Camila Cabello,2019.,"[{'bimmer'}, set()]","{'brands': {'bimmer': ""Don't like the car she in, gon' end up buyin' her a new Bimmer (Let's go)""}, 'locations': {}}"
Doin' Time,Lana Del Rey,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
YKWIM?,Yot Club,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Teeth,5 Seconds of Summer,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Otro Trago,Sech,2019.,"[set(), {'puerto rico'}]","{'brands': {}, 'locations': {'puerto rico': 'Panamá and Puerto Rico'}}"
ORANGE SODA,Baby Keem,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Never Really Over,Katy Perry,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
On My Way,Alan Walker,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Here With Me,Marshmello,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Lights Up,Harry Styles,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Still Don't Know My Name,Labrinth,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Giant,Calvin Harris,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Fantasias,Rauw Alejandro,2019.,"[set(), {'miami', 'rome'}]","{'brands': {}, 'locations': {'rome': 'Urba y Rome, Urba y Rome', 'miami': 'Frank Miami'}}"
All Around The World (La La La),R3HAB,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Paper Rings,Taylor Swift,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
A Mí,Rels B,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Summer Days,Martin Garrix,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Suge,DaBaby,2019.,"[{'glock'}, set()]","{'brands': {'glock': ""The other one, that's where the Glock at (Glock)""}, 'locations': {}}"
all the good girls go to hell,Billie Eilish,2019.,"[set(), {'california'}]","{'brands': {}, 'locations': {'california': 'Hills burn in California'}}"
This City,Sam Fischer,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
NEW MAGIC WAND,"Tyler, The Creator",2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Takeaway,The Chainsmokers,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Take What You Want,Post Malone,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
