Title,Artist,Year,Entities
Camelot,NLE Choppa,2019.,"[set(), {'batman', 'kingston'}]"
High Fashion,Roddy Ricch,2019.,"[{'patek', 'prada', 'benz'}, set()]"
All For Us,Labrinth,2019.,"[set(), set()]"
rises the moon,Liana Flores,2019.,"[set(), set()]"
De Los Besos Que Te Di,Christian Nodal,2019.,"[set(), set()]"
Trampoline,SHAED,2019.,"[set(), set()]"
Juice,Lizzo,2019.,"[{'louis'}, {'lv'}]"
Harleys In Hawaii,Katy Perry,2019.,"[{'harleys'}, {'hawaii'}]"
Homicide,Logic,2019.,"[{'ford', 'rover', 'porsche'}, set()]"
Baby (Lil Baby feat. DaBaby),Quality Control,2019.,"[set(), set()]"
Falling Like The Stars,James Arthur,2019.,"[set(), set()]"
Heart To Heart,Mac DeMarco,2019.,"[{'miller'}, set()]"
Don't Give Up On Me,Andy Grammer,2019.,"[set(), set()]"
Si Se Da,Myke Towers,2019.,"[set(), {'montana'}]"
Let Me Know (I Wonder Why Freestyle),Juice WRLD,2019.,"[set(), set()]"
my strange addiction,Billie Eilish,2019.,"[set(), set()]"
Like That,Doja Cat,2019.,"[{'gucci', 'off-white'}, {'rome', 'el dorado'}]"
Only Human,Jonas Brothers,2019.,"[set(), set()]"
SUGAR,BROCKHAMPTON,2019.,"[{'jordan'}, {'texas', 'jordan'}]"
Fine Line,Harry Styles,2019.,"[set(), set()]"
Amigos Con Derechos,Reik,2019.,"[set(), {'san juan'}]"
Si Te Pudiera Mentir,Calibre 50,2019.,"[set(), set()]"
Love Songs,Kaash Paige,2019.,"[set(), set()]"
Bubble Gum,Clairo,2019.,"[set(), set()]"
Shotta Flow,NLE Choppa,2019.,"[set(), {'mexico', 'philly'}]"
I Think I'm OKAY,mgk,2019.,"[set(), {'california'}]"
Love Is Gone,SLANDER,2019.,"[set(), set()]"
Liar,Camila Cabello,2019.,"[set(), set()]"
223's,YNW Melly,2019.,"[{'google', 'glocks'}, set()]"
lonely,Lauv,2019.,"[set(), set()]"
FANCY,TWICE,2019.,"[set(), set()]"
Sanguine Paradise,Lil Uzi Vert,2019.,"[set(), {'montana'}]"
ARE WE STILL FRIENDS?,"Tyler, The Creator",2019.,"[set(), set()]"
Pluto Projector,Rex Orange County,2019.,"[set(), set()]"
Baila Baila Baila,Ozuna,2019.,"[set(), set()]"
Psycho,Red Velvet,2019.,"[set(), set()]"
Deutschland,Rammstein,2019.,"[set(), set()]"
xanny,Billie Eilish,2019.,"[{'uber', 'xanny', 'coke'}, set()]"
Cover Me Up,Morgan Wallen,2019.,"[set(), {'richmond'}]"
lowkey,NIKI,2019.,"[set(), set()]"
The Bones,Maren Morris,2019.,"[set(), set()]"
One Man Band,Old Dominion,2019.,"[set(), set()]"
Saint-Tropez,Post Malone,2019.,"[{'bud light', 'versace'}, {'saint-tropez'}]"
Quizas,Rich Music LTD,2019.,"[{'jordan'}, {'jordan'}]"
HONEST,Baby Keem,2019.,"[{'toyota'}, {'toyota'}]"
Playing Games,Summer Walker,2019.,"[set(), {'paris', 'london'}]"
In My Room,Frank Ocean,2019.,"[{'richard mille'}, set()]"
To the Bone,Pamungkas,2019.,"[set(), set()]"
VALENTINO,24kGoldn,2019.,"[{'gucci', 'valentino', 'minute maid'}, set()]"
Could've Been,H.E.R.,2019.,"[set(), set()]"
Enemies,Post Malone,2019.,"[set(), set()]"
Did It Again,Lil Tecca,2019.,"[{'rari', 'benz'}, {'japan', 'france'}]"
Que Mas Pues,Sech,2019.,"[set(), {'medellín'}]"
Almost (Sweet Music),Hozier,2019.,"[set(), set()]"
Me la Avente,Carin Leon,2019.,"[set(), set()]"
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,2019.,"[{'bentley', 'cartier', 'adderall', 'richard mille', 'sprite', 'wrangler', 'nike', 'maybach', 'birkin', 'chanel'}, {'paris', 'canada'}]"
紅蓮華,LiSA,2019.,"[set(), set()]"
Ritual,Tiësto,2019.,"[set(), set()]"
Amor Tumbado,Natanael Cano,2019.,"[set(), set()]"
ilomilo,Billie Eilish,2019.,"[set(), set()]"
VIBEZ,DaBaby,2019.,"[{'bacardi', 'louis'}, set()]"
Walk Me Home,P!nk,2019.,"[set(), set()]"
Yo Ya No Vuelvo Contigo,Lenin Ramírez,2019.,"[set(), set()]"
Mixed Personalities,YNW Melly,2019.,"[{'glock', 'adderall'}, {'bahamas'}]"
Sex Sounds,Lil Tjay,2019.,"[set(), set()]"
Woah,Lil Baby,2019.,"[{'birkin'}, set()]"
Stuck In A Dream,Lil Mosey,2019.,"[{'xans', 'porsche', 'royce', 'celine', 'patek'}, {'milan', 'seattle'}]"
Follow God,Kanye West,2019.,"[set(), set()]"
GATTI,JACKBOYS,2019.,"[{'bugatti', 'louis', 'chanel'}, set()]"
Rules,Doja Cat,2019.,"[set(), {'austin'}]"
Ayy Macarena,Tyga,2019.,"[set(), set()]"
"GONE, GONE / THANK YOU","Tyler, The Creator",2019.,"[set(), set()]"
Cuaderno,Dalex,2019.,"[{'google'}, set()]"
Half A Man,Dean Lewis,2019.,"[set(), set()]"
Daylight,Taylor Swift,2019.,"[set(), {'new york'}]"
Make No Sense,YoungBoy Never Broke Again,2019.,"[{'gucci'}, set()]"
Roller,Apache 207,2019.,"[{'barbie'}, {'kawasaki'}]"
Ella,Junior H,2019.,"[set(), set()]"
The Archer,Taylor Swift,2019.,"[set(), set()]"
Power Over Me,Dermot Kennedy,2019.,"[set(), set()]"
Surrender,Natalie Taylor,2019.,"[set(), set()]"
CITY OF ANGELS,24kGoldn,2019.,"[{'hennessy'}, set()]"
I,Lil Skies,2019.,"[set(), set()]"
Cheating on You,Charlie Puth,2019.,"[set(), set()]"
I Hope,Gabby Barrett,2019.,"[set(), set()]"
PORFA,Feid,2019.,"[set(), set()]"
Turn Me On,Riton,2019.,"[set(), set()]"
Piensan,Haze,2019.,"[set(), set()]"
Miss Americana & The Heartbreak Prince,Taylor Swift,2019.,"[set(), set()]"
Trust Issues,Drake,2019.,"[set(), set()]"
white tee,Lil Peep,2019.,"[{'gucci'}, set()]"
My Type,Saweetie,2019.,"[{'lamborghini', 'hennessy'}, set()]"
Simple,Florida Georgia Line,2019.,"[set(), set()]"
Vámonos a Marte,Kevin Kaarl,2019.,"[set(), set()]"
Cross Me,Ed Sheeran,2019.,"[set(), set()]"
moment,Vierre Cloud,2019.,"[set(), set()]"
Like I Want You,Giveon,2019.,"[set(), set()]"
All Your'n,Tyler Childers,2019.,"[set(), set()]"
Never Seen the Rain,Tones And I,2019.,"[set(), set()]"
Afterglow,Taylor Swift,2019.,"[set(), set()]"
Hot,Young Thug,2019.,"[{'canada dry', 'bentley', 'cartier', 'cartiers', 'chanel', 'sprite', 'cayenne', 'nike', 'wrangler', 'patek', 'rolls royce', 'maybach', 'birkin', 'birkins'}, set()]"
Salt,Ava Max,2019.,"[{'laurent'}, set()]"
Let Go,Aaron May,2019.,"[set(), set()]"
Indeciso,Reik,2019.,"[{'dolce', 'chanel'}, set()]"
HASTA ABAJO,KEVIN ROLDAN,2019.,"[set(), {'medellín', 'milwaukee'}]"
San Lucas,Kevin Kaarl,2019.,"[set(), set()]"
Isis,Joyner Lucas,2019.,"[{'bentley', 'louis vuitton'}, set()]"
Jangueo,Alex Rose,2019.,"[set(), set()]"
