Title,Artist,Year,Entities
¿Qué Ha Pasao'?,Abraham Mateo,2019.,"[set(), set()]"
Elle est bonne sa mère,Vegedream,2019.,"[{'rolex', 'chanel'}, set()]"
Nem de Graça / Saudade Arregaça,Pixote,2019.,"[set(), set()]"
Disco,Surf Curse,2019.,"[set(), set()]"
GIANTS,True Damage,2019.,"[{'volvo', 'benz'}, set()]"
Just Us,DJ Khaled,2019.,"[set(), set()]"
Dream Glow (BTS World Original Soundtrack) (Pt. 1),BTS,2019.,"[{'louis', 'jaguar', 'zara', 'miller', 'dove', 'champion'}, {'phoenix', 'florence', 'madison', 'new orleans', 'paris', 'montana', 'ohio', 'california', 'detroit', 'aurora', 'batman'}]"
BOOM,NCT DREAM,2019.,"[set(), set()]"
Soon You’ll Get Better,Taylor Swift,2019.,"[set(), set()]"
Boys Ain't Shit,SAYGRACE,2019.,"[set(), set()]"
El Fin del Mundo,La La Love You,2019.,"[set(), set()]"
ADHD,Joyner Lucas,2019.,"[set(), set()]"
Swan Song,Dua Lipa,2019.,"[set(), set()]"
Como Estrellas,LA YOUNG,2019.,"[set(), set()]"
Putana,Ninho,2019.,"[{'glock'}, set()]"
PAID MY DUES,NF,2019.,"[set(), set()]"
Heartbeat (BTS World Original Soundtrack),BTS,2019.,"[{'palace'}, {'boston', 'hamilton', 'austin', 'la', 'nyc', 'california', 'brazil'}]"
Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,2019.,"[set(), set()]"
SOLVED THE PROBLEM,Comethazine,2019.,"[{'uber'}, set()]"
Cómo estás,Ke Personajes,2019.,"[set(), set()]"
Blame,Bryson Tiller,2019.,"[{'henny'}, set()]"
Feel Me,Rich Music LTD,2019.,"[set(), {'chile'}]"
Lunchbox Friends,Melanie Martinez,2019.,"[{'barbie'}, set()]"
Joy,Bastille,2019.,"[set(), set()]"
Abrazado a Ti,Kevin Kaarl,2019.,"[set(), set()]"
Hauseingang,Pashanim,2019.,"[set(), {'berlin'}]"
Let Her Go,The Kid LAROI,2019.,"[{'benz'}, set()]"
That's a Rack,Lil Uzi Vert,2019.,"[{'bentley', 'dior', 'fendi', 'lambo', 'lamb', 'maybach', 'balmain'}, set()]"
Trap [Feat. Lil Baby],SAINt JHN,2019.,"[set(), set()]"
Amigo,Lil Tecca,2019.,"[{'ford', 'porsche', 'bape'}, {'new york'}]"
Make It With You,Ben&Ben,2019.,"[set(), set()]"
Blueming,IU,2019.,"[set(), set()]"
Broken & Beautiful,Kelly Clarkson,2019.,"[set(), set()]"
All The Lies,Alok,2019.,"[set(), {'paris'}]"
Time Machine,WILLOW,2019.,"[set(), {'nyc'}]"
Me Gusta,DTF,2019.,"[{'honda'}, set()]"
Tumbando el Club,Neo Pistea,2019.,"[{'gucci', 'ferrari'}, {'montana'}]"
El Mundo a Tus Pies,Grupo Firme,2019.,"[set(), set()]"
Girls Have Fun,Tyga,2019.,"[set(), {'l.a.'}]"
È sempre bello,Coez,2019.,"[set(), set()]"
IGOR'S THEME,"Tyler, The Creator",2019.,"[set(), set()]"
No Right To Love You,Rhys Lewis,2019.,"[set(), set()]"
ALREADY,Beyoncé,2019.,"[set(), set()]"
Hair Down,SiR,2019.,"[set(), set()]"
Bulong,December Avenue,2019.,"[set(), set()]"
Ruthless,Lil Tjay,2019.,"[{'nikes', 'maybach', 'balmains', 'bape'}, {'atlanta'}]"
Gold Roses,Rick Ross,2019.,"[{'xanny', 'chanel'}, {'america'}]"
Beef FloMix,Flo Milli,2019.,"[set(), set()]"
All Alone,Freddie Dredd,2019.,"[set(), set()]"
Estado Decadente,Zé Neto & Cristiano,2019.,"[set(), set()]"
Hurricane,I Prevail,2019.,"[set(), set()]"
Áudio,Diego & Victor Hugo,2019.,"[set(), set()]"
10%,KAYTRANADA,2019.,"[set(), set()]"
Brand New Man,Brooks & Dunn,2019.,"[set(), set()]"
Rushing Back,Flume,2019.,"[set(), set()]"
Pal Pal Dil Ke Paas,Arijit Singh,2019.,"[set(), set()]"
Alocao (With Bad Gyal),Omar Montes,2019.,"[{'royce'}, {'palma'}]"
BIG,Young M.A,2019.,"[{'kappa', 'glocks', 'bugatti', 'hennessy', 'rollie', 'patek', 'off-white'}, {'la'}]"
Nothing On You,Ed Sheeran,2019.,"[{'rover', 'chanel'}, set()]"
Dove e quando,Benji & Fede,2019.,"[set(), set()]"
Drugs,UPSAHL,2019.,"[{'audi'}, set()]"
Home,Cavetown,2019.,"[set(), set()]"
Light,Jerome,2019.,"[set(), set()]"
Nobody But You (Duet with Gwen Stefani),Blake Shelton,2019.,"[{'gucci', 'louis'}, set()]"
YO LE LLEGO,J Balvin,2019.,"[{'rolex'}, {'colombia', 'chile', 'venezuela', 'puerto rico', 'santo domingo', 'argentina'}]"
Screwface Capital,Dave,2019.,"[{'porsche'}, set()]"
Whip A Tesla,Yung Gravy,2019.,"[{'guinness', 'tesla', 'dodge', 'prada', 'patek'}, set()]"
La Respuesta,Becky G,2019.,"[set(), set()]"
Dime Cuantas Veces,Micro TDH,2019.,"[set(), set()]"
Old Streets,2KBABY,2019.,"[set(), set()]"
Gloria,The Lumineers,2019.,"[set(), set()]"
Adu Rayu,Yovie Widianto,2019.,"[set(), set()]"
Tokyo Drifting,Glass Animals,2019.,"[{'jordan'}, {'tokyo', 'jordan'}]"
First Off,Future,2019.,"[{'nikes', 'bugatti', 'louis', 'patek'}, set()]"
Meu talismã,IZA,2019.,"[set(), set()]"
Safari,Serena,2019.,"[set(), set()]"
Contatinho,Leo Santana,2019.,"[{'glock'}, {'santos'}]"
Amin Paling Serius,Sal Priadi,2019.,"[set(), set()]"
Narcotic,YouNotUs,2019.,"[set(), set()]"
Ready,Alessia Cara,2019.,"[set(), set()]"
Writing on the Wall,French Montana,2019.,"[{'fendi', 'bimmer', 'balenciaga', 'gucci', 'prada'}, {'montana', 'bronx'}]"
Faith,Galantis,2019.,"[set(), set()]"
POPOPOP,Gambi,2019.,"[set(), set()]"
Miami Vibe,Adriel Favela,2019.,"[{'rolls-royce'}, {'miami', 'colombia'}]"
Nurse's Office,Melanie Martinez,2019.,"[set(), set()]"
Wieso tust Du dir das an?,Apache 207,2019.,"[set(), set()]"
molly,iann dior,2019.,"[{'beamer'}, set()]"
Tip Toe,Roddy Ricch,2019.,"[{'patek', 'rollie', 'balenciaga', 'patron'}, set()]"
PUPPET,"Tyler, The Creator",2019.,"[set(), set()]"
Evoluiu,MC Kevin o Chris,2019.,"[set(), set()]"
Strangers,Sigrid,2019.,"[set(), set()]"
Ti volevo dedicare,Rocco Hunt,2019.,"[{'coca cola'}, {'malibu'}]"
Leray,Trippie Redd,2019.,"[set(), set()]"
Gimme! Gimme! Gimme!,GAMPER & DADONI,2019.,"[set(), set()]"
Se iluminaba,Fred De Palma,2019.,"[set(), {'palma'}]"
