Artist,Title,Streams,Daily
Lil Baby,Sum 2 Prove,"455,668,478","196,012"
Mac Miller,Good News,"453,466,886","120,927"
ROSALÍA,TKN,"453,281,459","124,290"
21 Savage,Rich N*gga Sh*t,"449,847,843","289,542"
BTS,Filter,"448,388,457","125,419"
BLACKPINK,Pretty Savage,"447,417,639","232,244"
Grupo Firme,El Tóxico,"445,501,605","293,881"
Tate McRae,that way,"444,841,760","202,518"
Ofenbach,Head Shoulders Knees & Toes,"444,453,302","161,021"
Rauw Alejandro,Elegí,"444,094,757","96,345"
Lele Pons,Se Te Nota,"442,529,450","81,597"
AP Dhillon,Excuses,"437,301,052","240,890"
Christian Nodal,Aquí Abajo,"435,910,475","272,458"
Jerry Di,Mi Cuarto,"433,709,501","100,916"
Taylor Swift,illicit affairs,"433,365,153","424,734"
Megan Thee Stallion,Savage Remix,"432,153,595","62,932"
Megan Thee Stallion,Savage,"431,150,198","79,458"
Taylor Swift,mirrorball,"430,666,570","294,085"
Maluma,Parce,"427,947,344","79,249"
Polo G,Go Stupid,"427,509,631","201,026"
C. Tangana,Demasiadas Mujeres,"427,318,148","182,374"
Ozuna,Despeinada,"426,832,359","111,513"
Lil Baby,We Paid,"426,697,467","164,644"
Tones And I,Fly Away,"426,427,539","115,898"
Juice WRLD,Hate The Other Side,"424,922,686","106,810"
King,Tu Aake Dekhle,"423,594,046","270,043"
Katy Perry,Swish Swish,"420,817,704","48,883"
YNW Melly,Suicidal,"420,316,037","133,562"
Tory Lanez,Broke In A Minute,"418,481,130","179,674"
Juice WRLD,Conversations,"416,891,772","166,076"
Bad Bunny,Bichiyal,"416,863,736","162,526"
Eve,廻廻奇譚,"416,807,886","225,423"
Halsey,Graveyard,"415,887,535","64,338"
Sam Smith,Diamonds,"415,641,528","91,550"
Steve Lacy,Infrunami,"415,259,707","680,494"
Khalid,Know Your Worth,"415,155,594","50,438"
Kane Brown,Be Like That,"414,363,138","89,941"
Master KG,Jerusalema,"413,451,171","149,632"
Camilo,La Mitad,"411,602,004","489,228"
Bad Bunny,BOOKER T,"411,306,792","166,373"
Camilo,BEBÉ,"411,131,194","183,954"
1nonly,Stay With Me,"410,976,191","235,013"
C. Tangana,Tú Me Dejaste De Querer,"410,076,770","157,202"
Regard,Secrets,"408,146,034","71,269"
Nea,Some Say,"407,925,806","64,483"
Taylor Swift,this is me trying,"406,449,545","314,515"
DripReport,Skechers,"406,378,543","78,392"
G Herbo,PTSD,"404,942,996","106,147"
Wisin,Mi Niña,"403,968,318","56,430"
Blxst,Chosen,"402,175,735","131,103"
Ozuna,Caramelo,"401,855,433","251,176"
Brent Faiyaz,DEAD MAN WALKING,"401,473,924","188,040"
Ali Gatie,What If I Told You That I Love You,"401,427,719","62,754"
Bad Bunny,HACIENDO QUE ME AMAS,"399,293,867","140,989"
5 Seconds of Summer,Easier,"398,469,434","73,215"
Money Man,24,"397,361,584","127,232"
Gunna,DOLLAZ ON MY HEAD,"396,152,989","95,602"
Edith Whiskers,Home,"395,621,677","226,752"
Lee Brice,One Of Them Girls,"393,928,905","218,917"
TWICE,I CAN'T STOP ME,"392,028,590","130,319"
S1mba,Rover,"389,481,296","97,087"
Big Sean,Wolves,"388,119,260","75,291"
Dua Lipa,Fever,"388,071,690","160,066"
JAWNY,Honeypie,"387,876,671","379,883"
Bad Bunny,La Zona,"387,053,926","121,762"
Bad Bunny,120,"386,076,461","207,750"
Pooh Shiesty,Back in Blood,"386,004,403","150,942"
Joji,Gimme Love,"385,845,065","111,872"
Vedo,You Got It,"384,133,173","120,920"
Polo G,Flex,"383,462,953","111,866"
Lady Gaga,Stupid Love,"381,694,612","69,697"
Wiz Khalifa,The Thrill,"380,631,143","329,292"
Taylor Swift,invisible string,"379,398,273","285,903"
Lil Baby,On Me,"377,182,107","184,242"
Blueface,Thotiana,"376,639,429","40,962"
Lil Uzi Vert,Myron,"376,222,508","74,389"
Pritam,Shayad,"375,201,112","296,743"
Sara Kays,Remember That Night?,"373,528,491","149,226"
Camilo,El Mismo Aire,"373,285,012","448,240"
ITZY,WANNABE,"372,836,736","130,944"
Myke Towers,Girl,"372,255,874","253,576"
Gracie Abrams,"I miss you, I’m sorry","371,885,913","861,598"
Taylor Swift,the last great american dynasty,"371,840,867","221,033"
El Fantasma,Cabrón y Vago,"370,935,644","293,337"
Justin Quiles,Jeans,"370,401,943","59,198"
ElyOtto,SugarCrash!,"369,495,797","100,883"
Lady Gaga,Sour Candy,"367,675,676","89,233"
Stray Kids,God’s Menu,"366,994,508","221,314"
Taylor Swift,betty,"366,343,076","281,336"
Ozuna,Del Mar,"365,505,294","107,559"
Central Cee,Loading,"365,331,998","145,147"
twocolors,Lovefool,"364,288,302","97,948"
Purple Disco Machine,Hypnotized,"362,661,693","154,114"
Lil Durk,3 Headed Goat,"361,050,692","116,885"
Pop Smoke,Get Back,"360,360,832","96,090"
Dua Lipa,Hallucinate,"359,906,107","118,252"
Luar La L,Caile,"359,795,174","110,601"
Mac Miller,Blue World,"358,412,913","211,546"
Shakira,Me Gusta,"357,896,565","75,318"
Lauv,Mean It,"357,329,854","236,876"
Clean Bandit,Tick Tock,"352,829,997","61,964"
Reik,Si Me Dices Que Sí,"349,995,602","96,778"
$NOT,GOSHA,"349,857,700","76,114"
J Balvin,Amarillo,"348,970,436","59,690"
Ty Dolla $ign,Spicy,"348,101,776","114,339"
Aditya A,Chaand Baaliyan,"345,993,243","216,309"
PARTYNEXTDOOR,BELIEVE IT,"345,110,760","50,116"
Rauw Alejandro,Tattoo,"344,184,954","46,161"
Nicky Jam,Muévelo,"342,929,850","50,923"
DDG,Moonwalking in Calabasas,"342,243,005","84,177"
Nadin Amizah,Bertaut,"341,423,354","471,871"
Migos,Need It,"341,153,085","232,370"
salem ilese,Mad at Disney,"340,318,869","121,255"
347aidan,Dancing in My Room,"338,853,174","67,608"
Robin Schulz,In Your Eyes,"338,841,163","63,568"
Chris Stapleton,Starting Over,"338,294,350","376,497"
Lil Tecca,Our Time,"337,812,187","232,619"
XXXTENTACION,Riot,"335,759,665","428,215"
mgk,bloody valentine,"335,618,898","80,415"
Megan Thee Stallion,Body,"333,343,603","118,383"
Madison Beer,Selfish,"329,839,073","59,275"
Agust D,Daechwita,"329,203,686","335,495"
Lil Uzi Vert,P2,"329,115,417","45,688"
Bad Bunny,Soliá,"327,516,950","155,877"
Juice WRLD,Stay High,"325,660,244","139,532"
Taylor Swift,tolerate it,"325,322,069","225,342"
Eslabon Armado,Con Tus Besos,"324,475,078","180,797"
YOASOBI,群青,"323,868,055","139,073"
Juice WRLD,Life's A Mess,"323,732,936","74,601"
Darlene Love,Christmas (Baby Please Come Home),"323,413,872","7,584"
NAV,Turks,"322,732,467","73,564"
Maluma,Hawái,"321,126,872","45,126"
Selena Gomez,Look At Her Now,"320,633,195","36,382"
Lauv,Who,"320,599,939","87,610"
mgk,forget me too,"320,109,993","120,125"
Taylor Swift,seven,"318,789,272","210,165"
Playboi Carti,ILoveUIHateU,"318,502,021","330,366"
Maluma,ADMV,"318,173,209","91,722"
Junior H,Se Amerita,"317,389,929","165,582"
Rauw Alejandro,Algo Mágico,"316,392,466","235,707"
Selena Gomez,People You Know,"316,016,270","216,420"
21 Savage,Mr. Right Now,"315,678,335","81,935"
Curtis Waters,Stunnin',"314,851,136","39,823"
Drake,Time Flies,"312,053,203","151,584"
CORPSE,E-GIRLS ARE RUINING MY LIFE!,"312,035,052","58,779"
Future,Drankin N Smokin,"308,897,876","181,674"
G-Eazy,Still Be Friends,"308,503,775","49,047"
Junior H,Mente Positiva,"306,920,110","150,920"
Lauv,Feelings,"306,827,219","54,404"
Christian Nodal,Se Me Olvidó,"306,582,344","98,417"
IU,eight(Prod.&Feat. SUGA of BTS),"305,965,622","90,414"
Drake,Pain 1993,"303,647,734","226,359"
Sam Smith,To Die For,"303,365,241","45,183"
Camilo,Por Primera Vez,"303,208,698","104,893"
Bad Bunny,Que Malo,"302,468,167","187,975"
Lauv,Never Not,"302,106,618","69,021"
Playboi Carti,Vamp Anthem,"301,919,559","190,139"
Sigala,Lasting Lover,"300,456,908","60,163"
Sleepy Hallow,Deep End Freestyle,"300,030,662","65,552"
Joji,Run,"299,500,556","92,898"
Ashe,Moral of the Story,"298,836,621","119,410"
SyKo,#BrooklynBloodPop!,"297,370,328","171,535"
Eladio Carrion,3:00 AM,"296,980,893","210,945"
Lil Baby,Emotionally Scarred,"295,126,537","101,972"
Juicy Luicy,Lantas,"294,852,285","593,949"
Stellar,Ashes,"294,114,069","150,044"
Taylor Swift,gold rush,"293,844,714","134,228"
Harry Nach,Tak Tiki Tak,"292,035,065","55,805"
Maverick Sabre,Slow Down,"291,946,734","222,334"
Lil Uzi Vert,That Way,"291,835,075","36,580"
Oliver Tree,Alien Boy,"290,998,158","43,824"
Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36","290,674,293","81,499"
Don Toliver,Cardigan,"290,548,352","306,819"
Thundercat,Funny Thing,"290,163,596","289,569"
Bankrol Hayden,Costa Rica,"289,850,800","40,387"
Jason Derulo,Love Not War (The Tampa Beat),"288,754,956","47,930"
Morgan Wallen,Somebody’s Problem,"288,452,423","183,445"
Selena Gomez,Rare,"288,247,062","28,964"
HWASA,Maria,"286,297,467","101,988"
El Fantasma,Palabra de Hombre,"285,540,035","225,203"
Summer Walker,White Tee,"284,171,809","134,041"
Travis Scott,FRANCHISE,"283,477,728","108,954"
Bad Bunny,Pero Ya No,"283,245,734","65,651"
FINNEAS,Break My Heart Again,"282,858,687","84,327"
Taylor Swift,"no body, no crime","282,215,348","139,052"
Jack Harlow,I WANNA SEE SOME ASS,"281,155,421","59,684"
Fousheé,deep end,"279,699,122","41,063"
The Kid LAROI,Diva,"279,696,335","57,521"
Brent Faiyaz,Been Away,"279,136,084","257,050"
Grupo Menos É Mais,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer,"278,360,131","174,172"
HARDY,ONE BEER,"276,686,170","215,833"
Claire Rosinkranz,Backyard Boy,"275,660,687","90,561"
Christian Nodal,Dime Cómo Quieres,"274,877,148","202,248"
Jawsh 685,Savage Love (Laxed,"274,763,486","60,986"
Taylor Swift,‘tis the damn season,"273,949,140","115,336"
Dua Lipa,Pretty Please,"273,790,806","85,234"
13 Organisé,Bande organisée,"273,010,827","108,687"
Marshmello,OK Not To Be OK,"273,004,127","43,296"
Yuuri,ドライフラワー,"272,548,686","106,449"
Diego & Victor Hugo,Facas,"271,354,561","55,760"
Lil Tecca,Out Of Love,"271,219,383","134,625"
Niall Horan,Black And White,"270,987,717","54,861"
A Boogie Wit da Hoodie,Me and My Guitar,"270,786,282","83,563"
Robin Schulz,All We Got,"269,840,521","47,091"
Feid,PORFA,"269,499,037","46,482"
Conan Gray,Wish You Were Sober,"269,281,064","120,852"
Megan Thee Stallion,Girls in the Hood,"268,760,912","70,446"
NOBITA,Ikaw Lang,"267,442,274","303,692"
Twenty One Pilots,Level of Concern,"267,425,048","52,400"
Cali Y El Dandee,Nada,"266,609,884","52,731"
Milly,No Te Enamores,"265,590,444","47,132"
Madrigal,Seni Dert Etmeler,"265,354,156","141,751"
Ovy On The Drums,Inolvidable,"264,851,643","161,584"
Studio Killers,Jenny (I Wanna Ruin Our Friendship),"263,575,723","89,800"
BTS,Blue & Grey,"262,846,726","42,265"
BTS,My Time,"262,595,380","48,407"
Lauv,The Other,"260,952,402","15,055"
Kygo,What's Love Got to Do with It,"260,909,081","87,016"
Khruangbin,Texas Sun,"260,310,249","185,188"
SZA,Hit Different,"259,730,964","87,971"
Los Dos Carnales,El Envidioso,"258,605,891","176,332"
Marília Mendonça,Graveto,"258,524,681","91,731"
For Revenge,Serana,"258,060,183","468,784"
Nelly,Lil Bit,"257,259,965","125,947"
Jack Harlow,Way Out,"257,153,800","42,541"
Henrique & Juliano,Volta Por Baixo,"257,120,937","121,460"
Lil Baby,The Bigger Picture,"256,767,694","46,675"
Bad Bunny,BYE ME FUI,"255,192,216","45,835"
24kGoldn,Mood,"254,899,822","39,946"
Internet Money,Blastoff,"253,804,668","60,613"
Lil Baby,Low Down,"253,303,367","233,374"
