Artist,Title,Streams,Daily
Marshmello,Numb,"413,285,203","234,483"
Taylor Swift,Vigilante Shit,"412,164,074","280,905"
IVE,LOVE DIVE,"408,651,356","198,688"
Sufjan Stevens,Fourth of July,"407,277,220","401,672"
Rauw Alejandro,PUNTO 40,"406,029,472","180,102"
Peso Pluma,Siempre Pendientes,"405,754,219","217,684"
Jax Jones,Where Did You Go?,"403,243,097","253,006"
Grupo Marca Registrada,El Rescate,"402,141,601","207,675"
NewJeans,Attention,"401,319,868","285,636"
Alesso,Words,"401,230,243","327,393"
The Weeknd,Sacrifice,"393,831,480","117,927"
Ayra Starr,Rush,"389,213,186","339,982"
David Guetta,Crazy What Love Can Do,"387,736,673","392,448"
LF SYSTEM,Afraid To Feel,"387,281,932","663,708"
Rihanna,Lift Me Up,"386,862,405","147,367"
Harry Styles,Daylight,"386,331,062","162,143"
Lasso,Ojos Marrones,"385,907,672","258,258"
The 1975,About You,"384,187,863","631,589"
Bad Bunny,Yo No Soy Celoso,"380,564,942","186,067"
Shubh,No Love,"378,314,385","191,532"
Joji,Die For You,"378,078,815","270,900"
Bad Bunny,Me Fui de Vacaciones,"377,050,679","198,580"
IVE,After LIKE,"376,302,957","201,537"
Kenshi Yonezu,KICK BACK,"375,425,615","261,420"
Gunna,pushin P,"374,184,553","107,132"
LiL CaKe,MERCHO,"374,174,350","146,534"
Bad Bunny,Un Verano Sin Ti,"373,922,960","278,080"
Junior H,El Hijo Mayor,"373,353,657","515,977"
Em Beihold,Numb Little Bug,"373,088,919","214,389"
Mora,MEMORIAS,"372,655,648","247,631"
Harry Styles,Little Freak,"370,571,642","158,074"
Armani White,BILLIE EILISH.,"370,527,100","215,090"
Drake,Spin Bout U,"370,342,002","246,439"
BLACKPINK,Typa Girl,"369,924,926","240,286"
Alok,Deep Down,"367,882,854","604,985"
Megan Thee Stallion,Sweetest Pie,"367,737,886","164,384"
Polimá Westcoast,ULTRA SOLO,"365,700,469","101,318"
Rex Orange County,THE SHADE,"364,350,336","268,521"
Florida Georgia Line,Up Down,"364,015,820","223,212"
NLE Choppa,SLUT ME OUT,"362,138,716","289,832"
Morgan Wallen,Thought You Should Know,"361,259,429","377,042"
Bad Bunny,Enséñame a Bailar,"359,651,966","210,685"
Quevedo,PLAYA DEL INGLÉS,"359,638,370","230,750"
Isabel LaRosa,i'm yours,"359,350,519","886,401"
Taylor Swift,Mastermind,"356,738,406","247,128"
Yeat,Out thë way,"356,096,551","344,348"
Shae Gill,Pasoori,"354,241,870","138,752"
Oscar Maydon,Los Collares,"353,623,419","447,662"
Bad Bunny,Aguacero,"353,590,523","216,291"
BTS,Yet To Come,"350,171,840","83,495"
Raim Laode,Komang,"349,112,691","371,393"
Israel & Rodolffo,Bombonzinho,"349,086,526","118,752"
Polimá Westcoast,ULTRA SOLO REMIX,"349,007,363","154,857"
Gustavo Mioto,Eu Gosto Assim,"348,556,088","178,478"
El Chachito,En Paris,"345,779,354","167,215"
Måneskin,THE LONELIEST,"344,618,407","247,300"
Oxlade,KU LO SA,"344,110,391","267,464"
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),"343,657,336","257,082"
Lizzo,2 Be Loved (Am I Ready),"342,980,584","149,389"
Hugo & Guilherme,Mal Feito,"341,696,580","161,174"
Harry Styles,Keep Driving,"340,722,330","193,010"
